 ti edge EuTiO3                                          Feff  6.01a  potph 4.12
 Abs   Z=22 Rmt= 1.089 Rnm= 1.378 K shell
 Pot 1 Z=63 Rmt= 1.727 Rnm= 1.814
 Pot 2 Z=22 Rmt= 1.091 Rnm= 1.386
 Pot 3 Z= 8 Rmt= 0.926 Rnm= 1.141
 Gam_ch=9.067E-01 H-L exch
 Mu=-6.373E+00 kf=2.024E+00 Vint=-2.198E+01 Rs_int= 1.792
 S02  1.000                                              Feff  6.01a ff2chi 2.01
 Curved wave amplitude ratio filter   4.000%
    file           sig2  cw amp ratio   deg  nlegs  r effective
 feff0001.dat    0.00000    100.00      6.00     2   1.9895
 feff0002.dat    0.00000     17.25     24.00     3   3.3963
 feff0003.dat    0.00000     57.15      8.00     2   3.4459
 feff0004.dat    0.00000     23.36      6.00     2   3.9790
 feff0005.dat    0.00000     16.43      6.00     3   3.9790
 feff0006.dat    0.00000     63.77     12.00     3   3.9790
 feff0007.dat    0.00000     27.48      6.00     4   3.9790
 feff0008.dat    0.00000      9.80      6.00     4   3.9790
 feff0009.dat    0.00000     42.51      6.00     4   3.9790
 feff0011.dat    0.00000     25.50     48.00     3   4.1245
 feff0012.dat    0.00000     56.76     24.00     2   4.4487
   11/  11 paths used
 -------------------------------------------------------------------------------
      k          chi          mag           phase @#
    12.2500   -6.630290E-03  2.686116E-02  5.629926E+01
    12.3000    2.621412E-03  2.715539E-02  5.664535E+01
    12.3500    1.160061E-02  2.741300E-02  5.698562E+01
    12.4000    1.925391E-02  2.761001E-02  5.732037E+01
    12.4500    2.472623E-02  2.772654E-02  5.764995E+01
    12.5000    2.745689E-02  2.774692E-02  5.797475E+01
    12.5500    2.723392E-02  2.765954E-02  5.829512E+01
    12.6000    2.420116E-02  2.745673E-02  5.861138E+01
    12.6500    1.881995E-02  2.713448E-02  5.892381E+01
    12.7000    1.179287E-02  2.669222E-02  5.923265E+01
    12.7500    3.962049E-03  2.613249E-02  5.953806E+01
    12.8000   -3.802849E-03  2.546071E-02  5.984018E+01
    12.8500   -1.071113E-02  2.468488E-02  6.013910E+01
    12.9000   -1.613836E-02  2.381525E-02  6.043482E+01
    12.9500   -1.968423E-02  2.286407E-02  6.072735E+01
    13.0000   -2.119579E-02  2.184527E-02  6.101660E+01
    13.0500   -2.067636E-02  2.069657E-02  6.130526E+01
    13.1000   -1.845856E-02  1.950450E-02  6.159003E+01
    13.1500   -1.499368E-02  1.828688E-02  6.187059E+01
    13.2000   -1.079900E-02  1.706230E-02  6.214654E+01
    13.2500   -6.382119E-03  1.584989E-02  6.241743E+01
    13.3000   -2.178306E-03  1.466888E-02  6.268281E+01
    13.3500    1.491289E-03  1.353826E-02  6.294223E+01
    13.4000    4.436718E-03  1.247622E-02  6.319543E+01
    13.4500    6.592493E-03  1.149947E-02  6.344237E+01
    13.5000    7.991790E-03  1.062235E-02  6.368349E+01
    13.5500    8.729275E-03  9.855728E-03  6.391987E+01
    13.6000    8.921436E-03  9.205961E-03  6.415338E+01
    13.6500    8.672897E-03  8.673996E-03  6.438673E+01
    13.7000    8.055138E-03  8.255198E-03  6.462325E+01
    13.7500    7.100970E-03  7.940142E-03  6.486655E+01
    13.8000    5.814508E-03  7.716416E-03  6.512004E+01
    13.8500    4.193030E-03  7.571052E-03  6.538650E+01
    13.9000    2.254534E-03  7.492977E-03  6.566783E+01
    13.9500    6.359337E-05  7.474873E-03  6.596494E+01
    14.0000   -2.251641E-03  7.514116E-03  6.627778E+01
    14.0500   -4.442857E-03  7.601902E-03  6.659764E+01
    14.1000   -6.340675E-03  7.753745E-03  6.693095E+01
    14.1500   -7.689594E-03  7.975605E-03  6.727563E+01
    14.2000   -8.244662E-03  8.274383E-03  6.762903E+01
    14.2500   -7.816877E-03  8.656039E-03  6.798821E+01
    14.3000   -6.317170E-03  9.123977E-03  6.835027E+01
    14.3500   -3.790267E-03  9.678047E-03  6.871263E+01
    14.4000   -4.308862E-04  1.031424E-02  6.907325E+01
    14.4500    3.422755E-03  1.102501E-02  6.943071E+01
    14.5000    7.319532E-03  1.179994E-02  6.978417E+01
    14.5500    1.074749E-02  1.262660E-02  7.013327E+01
    14.6000    1.320092E-02  1.349128E-02  7.047799E+01
    14.6500    1.425321E-02  1.437969E-02  7.081857E+01
    14.7000    1.362437E-02  1.527747E-02  7.115534E+01
    14.7500    1.123272E-02  1.617055E-02  7.148871E+01
    14.8000    7.221841E-03  1.704552E-02  7.181913E+01
    14.8500    1.957275E-03  1.788976E-02  7.214701E+01
    14.9000   -4.008091E-03  1.869171E-02  7.247274E+01
    14.9500   -9.996552E-03  1.944091E-02  7.279671E+01
