      k          chi          mag           phase @#
    13.0000    4.484745E-02  5.191433E-02  6.387477E+01
    13.0500    5.051924E-02  5.134293E-02  6.422329E+01
    13.1000    4.921135E-02  4.991215E-02  6.457042E+01
    13.1500    4.151751E-02  4.765644E-02  6.491584E+01
    13.2000    2.924130E-02  4.462278E-02  6.525887E+01
    13.2500    1.497465E-02  4.087238E-02  6.559834E+01
    13.3000    1.503885E-03  3.648270E-02  6.593221E+01
    13.3500   -8.822791E-03  3.155066E-02  6.625687E+01
    13.4000   -1.461721E-02  2.619930E-02  6.656533E+01
    13.4500   -1.573340E-02  2.059553E-02  6.684282E+01
    13.5000   -1.323555E-02  1.500892E-02  6.705321E+01
    13.5500   -9.054896E-03  1.004842E-02  6.709581E+01
    13.6000   -5.421093E-03  7.506167E-03  6.678045E+01
    13.6500   -4.217295E-03  9.470925E-03  6.643494E+01
    13.7000   -6.434098E-03  1.388199E-02  6.645537E+01
    13.7500   -1.187553E-02  1.873843E-02  6.665984E+01
    13.8000   -1.920354E-02  2.336878E-02  6.693794E+01
    13.8500   -2.631319E-02  2.749442E-02  6.725005E+01
    13.9000   -3.093568E-02  3.095546E-02  6.758000E+01
    13.9500   -3.129820E-02  3.364543E-02  6.791998E+01
    14.0000   -2.665016E-02  3.549315E-02  6.826569E+01
    14.0500   -1.750016E-02  3.656295E-02  6.861595E+01
    14.1000   -5.421216E-03  3.673144E-02  6.896691E+01
    14.1500    7.210604E-03  3.600547E-02  6.931667E+01
    14.2000    1.793416E-02  3.441960E-02  6.966312E+01
    14.2500    2.486396E-02  3.203662E-02  7.000351E+01
    14.3000    2.717412E-02  2.894925E-02  7.033383E+01
    14.3500    2.526614E-02  2.528479E-02  7.064742E+01
    14.4000    2.057692E-02  2.121842E-02  7.093236E+01
    14.4500    1.509213E-02  1.701062E-02  7.116535E+01
    14.5000    1.071768E-02  1.311296E-02  7.129986E+01
    14.5500    8.702013E-03  1.040795E-02  7.126651E+01
    14.6000    9.282387E-03  1.015125E-02  7.110259E+01
    14.6500    1.165599E-02  1.243573E-02  7.104184E+01
    14.7000    1.427510E-02  1.600111E-02  7.115459E+01
    14.7500    1.536660E-02  1.988738E-02  7.137358E+01
    14.8000    1.351088E-02  2.362629E-02  7.164786E+01
    14.8500    8.102090E-03  2.697817E-02  7.195160E+01
    14.9000   -4.450956E-04  2.980653E-02  7.227157E+01
