# Merge in e space of:
# ** C:/spectra for calibration/inasp_1.dat (inasp_1)
# ** C:/spectra for calibration/inasp_2.dat (inasp_2)
# ** C:/spectra for calibration/inasp_3.dat (inasp_3)
#------------------------
#   ee        xmu        bkg        stddev
  11989.527       0.75294667       0.76138681       0.34662461E-01
  11990.382       0.75129400       0.76080580       0.34782538E-01
  11991.256       0.75071667       0.76021214       0.34394437E-01
  11992.110       0.74962967       0.75963112       0.34054811E-01
  11992.985       0.74832500       0.75903614       0.34606044E-01
  11993.858       0.74773433       0.75844150       0.34482540E-01
  11994.732       0.74640667       0.75784643       0.33958174E-01
  11995.605       0.74518533       0.75725102       0.34356205E-01
  11996.498       0.74426500       0.75664230       0.34420952E-01
  11997.372       0.74308933       0.75604619       0.34307298E-01
  11998.264       0.74241967       0.75543677       0.34312012E-01
  11999.156       0.74144433       0.75482762       0.34600017E-01
  12000.048       0.74167233       0.75421811       0.34910761E-01
  12000.940       0.74146633       0.75360765       0.34775582E-01
  12001.833       0.74139200       0.75299678       0.34356746E-01
  12002.743       0.74162967       0.75237386       0.34473266E-01
  12003.653       0.74179767       0.75175059       0.34423014E-01
  12004.563       0.74200833       0.75112635       0.34410046E-01
  12005.473       0.74246467       0.75050240       0.34519549E-01
  12006.384       0.74295367       0.74987741       0.34594545E-01
  12007.296       0.74357267       0.74925148       0.34633247E-01
  12008.224       0.74395533       0.74861407       0.34646233E-01
  12009.151       0.74447667       0.74797626       0.34508578E-01
  12010.063       0.74528400       0.74734932       0.34563231E-01
  12011.009       0.74452667       0.74669845       0.34532880E-01
  12011.938       0.74488367       0.74605900       0.34186698E-01
  12012.868       0.74495233       0.74541861       0.34291392E-01
  12013.814       0.74486000       0.74476666       0.34149913E-01
  12014.744       0.74481600       0.74412561       0.34192620E-01
  12015.692       0.74471367       0.74347168       0.34289482E-01
  12016.639       0.74495900       0.74281812       0.33743426E-01
  12017.586       0.74487500       0.74216423       0.34204794E-01
  12018.551       0.74482100       0.74149751       0.33918851E-01
  12019.499       0.74481033       0.74084235       0.34190719E-01
  12020.465       0.74445400       0.74017429       0.34286890E-01
  12021.430       0.74402467       0.73950660       0.34388182E-01
  12022.396       0.74384533       0.73883790       0.34494776E-01
  12023.362       0.74362333       0.73816888       0.34494537E-01
  12024.328       0.74336200       0.73749962       0.34427597E-01
  12025.312       0.74319600       0.73681805       0.34330396E-01
  12026.297       0.74306967       0.73613493       0.34230227E-01
  12027.263       0.74278100       0.73546467       0.34261156E-01
  12028.248       0.74284867       0.73478093       0.34317417E-01
  12029.250       0.74245733       0.73408494       0.34359420E-01
  12030.234       0.74225967       0.73340121       0.34141036E-01
  12031.220       0.74134600       0.73271650       0.33923345E-01
  12032.222       0.74090233       0.73201960       0.34316354E-01
  12033.225       0.73952333       0.73132170       0.34163497E-01
  12034.227       0.73810700       0.73062421       0.34237789E-01
  12035.231       0.73631767       0.72992580       0.33817961E-01
  12036.234       0.73448100       0.72922704       0.34088988E-01
  12037.255       0.73226767       0.72851537       0.34101230E-01
  12038.260       0.72996533       0.72781541       0.33960472E-01
  12039.281       0.72804933       0.72710317       0.34281340E-01
  12040.303       0.72616367       0.72639002       0.34090756E-01
  12041.325       0.72450833       0.72567720       0.34122633E-01
  12042.365       0.72267033       0.72495077       0.34062925E-01
  12043.387       0.72117700       0.72423739       0.34131304E-01
  12044.426       0.71954500       0.72351108       0.34164838E-01
  12045.449       0.71809300       0.72279581       0.33971626E-01
  12046.490       0.71603667       0.72206830       0.34021810E-01
  12047.531       0.71556467       0.72133981       0.33869994E-01
  12048.589       0.71399867       0.72059964       0.34166671E-01
  12049.630       0.71248567       0.71987059       0.33977155E-01
  12050.690       0.71090200       0.71912859       0.34112631E-01
  12051.731       0.70940633       0.71839899       0.33739107E-01
