MRCAT_XAFS V0.3 Datafile
"femag.001" created at APS Sector 10-ID on Sat Jun  9 09:54:35 2001
Ring energy= 7.00 GeV
E0= 7100.00
NUM_REGIONS= 1
SRB= 6900
SRSS= 1
SPP= 0.4
Settling time= 0

***** DATA : LN( I0/IT )    REFERENCE : LN( IT/IRef ) *****

Offsets= 0.00 11495.56 11977.89 306.44 11092.78 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
Gains= 8.00 6.00 7.00 9.00 7.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
Fe K-edge 
Fe3O4 thin film
 
------------------------------------------------------------------------------------------------
   energy joerger_timer       Io       It       If     Iref 
 7188.286   12890455 33120 83657.5 35362.5 78870
 7189.58    15467980 39640 100305 42052.5 93695
 7190.8745  12889952 33112.5 83992.5 34837.5 77925
 7192.1474  12890520 33100 84127.5 34595 77685
 7193.377   12889860 33150 84430 34370 77437.5
 7194.6509  12890400 33255 84870 34202.5 77455
 7195.9473  12890188 33272.5 85085 33945 77330
 7197.2001  12890418 33250 85197.5 33680 77260
 7198.4755  15468122 39802.5 102207.5 39935 92505
 7199.7072  12889985 33040 85020 32920 76865
 7200.9835  12890320 33192.5 85557.5 32872.5 77082.5
 7202.2822  12890028 33125 85520 32640 77007.5
 7203.5594  12890565 33182.5 85767.5 32627.5 76550
 7204.8151  12889958 33067.5 85557.5 32487.5 76140
 7206.0932  12890470 33080 85645 32502.5 75440
 7207.3498  15468202 39732.5 102930 39132.5 89535
 7208.6729  12890058 33190 86022.5 32765 73685
 7209.9525  12890360 33137.5 85895 32837.5 72577.5
 7211.2105  12889978 33035 85640 32890 71535
 7212.4909  12890590 32830 85112.5 32857.5 70352.5
 7213.7277  12889922 32915 85312.5 33077.5 69620
 7215.0534  12890360 32995 85505 33382.5 69272.5
 7216.3353  15468168 39532.5 102417.5 40227.5 82250
 7217.5956  12890040 32940 85320 33740 68232.5
 7218.8342  12890348 32950 85320 33965 67987.5
 7220.1396  12890118 32767.5 84850 33922.5 67480
 7221.4455  12890205 32517.5 84222.5 33815 67115
 7222.7077  12890110 32697.5 84720 34070 67500
 7223.9481  12890320 32827.5 85110 34255 67890
 7225.2333  12890125 32722.5 84907.5 34135 67855
 7226.5412  15468530 39250 101942.5 40877.5 81732.5
 7227.8495  12891652 32837.5 85397.5 34085 68440
 7229.114   12888652 32972.5 85865 34110 68655
 7230.3789  12890778 32930 85890 33930 68790
 7231.6665  12889410 32967.5 86110 33812.5 68650
 7232.9546  12890728 32730 85627.5 33385 68542.5
 7234.2876  12889842 32842.5 86062.5 33260 68430
 7235.5321  15468668 39172.5 102882.5 39342.5 81355
 7236.8216  12890002 32437.5 85360 32322.5 67217.5
 7238.0671  12890718 32750 86352.5 32365 67152.5
 7239.4021  12889465 32610 86142.5 32022.5 66265
 7240.693   12891190 32220 85260 31435 65002.5
 7241.9622  12889218 32247.5 85442.5 31370 64972.5
 7243.2095  12891262 32145 85257.5 31207.5 64382.5
 7244.5018  15467902 38682.5 102665 37612.5 76795
 7245.8393  12890258 32280 85702.5 31500 63770
 7247.1326  12889290 32482.5 86257.5 31870 63672.5
 7248.3818  12890798 32592.5 86547.5 32077.5 63697.5
 7249.6537  12890652 32545 86400 32280 63522.5
 7250.9708  12889960 32605 86522.5 32542.5 63167.5
 7252.2883  12889410 32325 85745 32517.5 62830
 7253.5841  15468422 38792.5 102840 39375 75075
 7254.8356  12890352 32282.5 85535 33010 62137.5
 7256.1322  12890065 32197.5 85280 33167.5 61527.5
 7257.4741  12890275 32565 86232.5 33752.5 61505
 7258.7494  12890310 32235 85342.5 33615 60527.5
 7260.0251  12890178 30237.5 80055 31622.5 56515
 7261.3013  12890402 30360 80337.5 32100 57340
 7262.6004  15467800 38907.5 102992.5 41185 71975
 7263.9224  12890255 32852.5 87015 34890 59955
 7265.2224  12890028 32845 87032.5 34927.5 59667.5
 7266.4781  12890498 32462.5 86070 34555 58940
 7267.7791  12890010 32372.5 85880 34507.5 58365
 7269.0582  12890272 32460 86160 34592.5 58137.5
 7270.405   12890030 32502.5 86330 34622.5 57697.5
 7271.7075  12890412 32570 107112.5 41800 71707.5
 7272.988   15468412 39140 83595 34605 54302.5
 7274.2689  12889930 32480 86500 34630 56685
 7275.5503  12890735 32312.5 86122.5 34375 56235
 7276.9222  12889645 32327.5 86250 34375 55910
 7278.2046  12890798 32387.5 86492.5 34367.5 55610
 7279.51    12889585 32355 86507.5 34242.5 55120
 7280.7708  12890412 32020 85715 33802.5 54407.5
 7282.0771  15468242 38922.5 104365 40962.5 65740
 7283.3839  12889878 32175 86402.5 33677.5 54210
 7284.7138  12890480 31860 85692.5 33207.5 53605
 7285.999   12889940 32150 86600 33365 53832.5
 7287.2847  12890602 32322.5 87177.5 33387.5 53912.5
